location_id,start_month,end_month,type_count,type_id,taxonomic_rank,taxonomic_rank_name,en_name,scientific_name,scientific_synonyms
1064121,9,4,1,19,8,species,Kumquat,Citrus japonica,"Fortunella japonica, Citrus margarita, Fortunella margarita, Citrus obovata, Fortunella obovata"
1064124,5,6,1,92,6,genus,Mulberry,Morus,
1064127,5,6,1,96,8,species,Black mulberry,Morus nigra,
1064130,9,9,1,14,8,species,Apple,Malus pumila,Malus domestica
1064132,6,6,1,62,7,multispecies,Cherry,Prunus,
1064133,5,6,1,74,6,genus,Elderberry,Sambucus,
1064136,6,,1,1,7,multispecies,Plum,Prunus,
1064122,3,5,1,92,6,genus,Mulberry,Morus,
1064135,6,7,1,92,6,genus,Mulberry,Morus,
1064149,6,7,1,92,6,genus,Mulberry,Morus,
657081,9,10,1,73,6,genus,Walnut,Juglans,
1064154,6,7,1,115,6,genus,Serviceberry,Amelanchier,
1064155,8,10,1,14,8,species,Apple,Malus pumila,Malus domestica
1064157,9,10,1,111,8,species,Black walnut,Juglans nigra,
1064158,6,6,1,92,6,genus,Mulberry,Morus,
1064165,7,,1,445,6,genus,Fig,Ficus,
1064181,6,7,1,96,8,species,Black mulberry,Morus nigra,
1064152,5,6,1,92,6,genus,Mulberry,Morus,
1064183,6,7,1,96,8,species,Black mulberry,Morus nigra,
1064184,6,7,1,96,8,species,Black mulberry,Morus nigra,
1064192,7,9,1,15,6,genus,Pear,Pyrus,
1064194,5,7,1,62,7,multispecies,Cherry,Prunus,
1064196,6,,1,122,7,multispecies,Raspberry,Rubus,
1064193,9,10,1,14,8,species,Apple,Malus pumila,Malus domestica
1064220,9,10,1,116,8,species,Pawpaw,Asimina triloba,
1064221,5,6,1,115,6,genus,Serviceberry,Amelanchier,
666436,9,10,1,303,8,species,Jelly palm,Butia capitata,"Butia odorata, Cocos capitata"
667389,8,9,1,48,7,multispecies,Blackberry,Rubus,
1760597,7,8,1,396,8,species,Saskatoon,Amelanchier alnifolia,
1760600,8,10,1,114,6,genus,Apple,Malus,
