type_id,count,taxonomic_rank,taxonomic_rank_name,en_name,scientific_name,scientific_synonyms
2081,2,6,genus,Atriplex,Atriplex,
2074,2,8,species,Purple chokeberry,Aronia prunifolia,
4072,2,6,genus,Pacific salmon,Oncorhynchus,
2058,2,8,species,Candlenut,Aleurites rockinghamensis,
2029,2,6,genus,Sand verbena,Abronia,
421,2,8,species,Summer savory,Satureja hortensis,
1279,2,8,species,Maritime pine,Pinus pinaster,
865,2,8,species,Silk floss tree,Ceiba speciosa,
935,2,9,subspecies,Bok choy,Brassica rapa subsp. chinensis,
3811,2,8,species,Sea aster,Tripolium pannonicum,"Aster tripolium, Aster pannonicus"
5111,2,8,species,Pink evening primrose,Oenothera speciosa,
789,2,6,genus,Spike-cap,Gomphidius,
2139,2,8,species,Purple mangosteen,Garcinia mangostana,
942,2,8,species,Anacua,Ehretia anacua,
1375,2,8,species,Teak,Tectona grandis,
2451,2,8,species,Bur cucumber,Cucumis anguria,
900,2,8,species,Muskmelon,Cucumis melo,
1010,2,8,species,Early black wattle,Acacia decurrens,
1230,2,8,species,Amolillo,Agave ocahui,
2626,2,8,species,Japanese black pine,Pinus thunbergii,Pinus thunbergiana
4805,2,8,species,Sweet vernal grass,Anthoxanthum odoratum,
1376,2,8,species,Madre de cacao,Gliricidia sepium,
359,2,8,species,Manna ash,Fraxinus ornus,
920,2,8,species,Wild thyme,Thymus serpyllum,
594,2,6,genus,Ryegrass,Lolium,
7307,2,8,species,crimsoneyed rosemallow,Hibiscus moscheutos,
1058,2,8,species,American turkey oak,Quercus laevis,
1166,2,8,species,Native frangipani,Hymenosporum flavum,
7643,2,9,subspecies,Apple,Malus pumila 'Falstaff',
5114,2,8,species,Madeira vine,Anredera cordifolia,Boussingaultia cordifolia
767,2,9,subspecies,Red cabbage,Brassica oleracea var. capitata f. rubra,
1061,2,8,species,Cherrybark oak,Quercus pagoda,
4882,2,8,species,Cinnabar-red chanterelle,Cantharellus cinnabarinus,"Agaricus cinnabarinus, Chanterel cinnabarinus"
829,2,6,genus,Carissa,Carissa,
809,2,8,species,Mexican palmetto,Sabal mexicana,
755,2,8,species,Sticky currant,Ribes viscosissimum,
4898,2,8,species,Licorice fern,Polypodium glycyrrhiza,
4166,2,8,species,Achacha,Garcinia humilis,
636,2,8,species,Sargent cherry,Prunus sargentii,
5088,2,8,species,Carolina marsh clam,Polymesoda caroliniana,
4467,2,9,subspecies,European pear,Pyrus communis 'Beurre Hardy',
749,2,8,species,Hygrophorus milky,Lactarius hygrophoroides,
4477,2,9,subspecies,Nanking cherry,Prunus tomentosa 'Graeberiana',
7650,2,9,subspecies,Apple,Malus pumila 'Ribston Pippin',
4524,2,9,subspecies,Apple,Malus pumila 'Belle Fille de Salin',
1462,2,8,species,Elephant bush,Portulacaria afra,
1056,2,8,species,Paperbark maple,Acer griseum,
4548,2,9,subspecies,Quince,Cydonia oblonga 'Monstrueux de Vranja',
4549,2,9,subspecies,American tulip tree,Liriodendron tulipifera 'Aurea marginata',
4550,2,9,subspecies,Cherry plum,Prunus cerasifera 'Pissardii',
1574,2,7,multispecies,Black birch,Betula,
7715,2,8,species,interior live oak,Quercus wislizeni,
4557,2,9,subspecies,Common fig,Ficus carica 'Grise de Saint Jean',
4570,2,9,subspecies,Persian silk tree,Albizia julibrissin 'Ombrella',
5162,2,9,subspecies,Cherry plum,Prunus x 'Compass',
5139,2,9,subspecies,Luscious pear,Pyrus communis 'Luscious',
5136,2,9,subspecies,Summercrisp Pear,Pyrus communis 'Summercrisp',
5186,2,6,genus,Canarium,Canarium,
4403,2,9,subspecies,Apple,Malus pumila 'Reinette Grise du Canada',
1361,2,8,species,Japanese white birch,Betula platyphylla,
4644,2,9,subspecies,Peach,Prunus persica 'Flordabelle',
1213,2,8,species,Parry's agave,Agave parryi,
4645,2,9,subspecies,Japanese persimmon,Diospyros kaki 'Maekawa Jiro',
1239,2,8,species,Texas ebony,Ebenopsis ebano,
4685,2,9,subspecies,Mango melon,Cucumis melo var. chito,
4766,2,8,species,Riberry,Syzygium luehmannii,
1232,2,8,species,Desert bird of paradise,Caesalpinia mexicana,
1182,2,8,species,Chinese sumac,Rhus chinensis,
4237,2,9,subspecies,Sweet cherry,Prunus avium 'Gelbe Prinzess',
